,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,9998.56429207802,10008.049662637712,9984.901991677285,9994.3,9987.987657079695,9981.443055009842,10015.931600117681,9992.04061568737,9982.7701475811,9984.200303230287,9993.0189325099
2,9898.055351438523,9856.594957499505,9861.971569247247,9858.75996744156,9914.196840753553,9876.617346868516,9903.055130553243,9874.832358298301,9806.520844573974,9820.84429735184,9867.144866402625
3,9733.677655229569,9601.371208515167,9703.3921151495,9609.114054603575,9762.823941802979,9724.848021359443,9730.096249117849,9683.12100516796,9589.645041131975,9651.322210130693,9678.941150220871
4,9615.219324769974,9527.218447995185,9627.283438968658,9501.713662383554,9670.228989095685,9653.524378871918,9628.565828518866,9579.23868919849,9485.661232576373,9586.48514222145,9587.513913460016
5,9607.918961658479,9524.654796106819,9661.165185160637,9502.50102198362,9764.571924238206,9675.163251829148,9646.908982253073,9584.104339289663,9489.965212688445,9595.854362154008,9605.280803736208
6,9650.04067028999,9571.516068503859,9748.940771708489,9587.193896691799,9804.878621025086,9738.78778141022,9713.92833275318,9670.990245051382,9557.790118932722,9655.045881557468,9669.91123879242
7,9476.464807004928,9413.715233957768,9529.503117108346,9364.616517159939,9603.293436632155,9520.496787567141,9557.640653700826,9483.364022803307,9327.19399394989,9445.209497442247,9472.149806732656
8,9628.762816448214,9602.507503340246,9622.62701089859,9483.493172109125,9717.73325679779,9710.836796770096,9751.05195353031,9631.188576331138,9487.740058412552,9612.914209098819,9624.88553537369
9,9377.758966979982,9347.624427530769,9429.873321981431,9227.295548369884,9426.743555450439,9504.56032647133,9496.51131107807,9350.31811656475,9237.559569244386,9358.808370170593,9375.705351384164
10,9343.713135337828,9290.363737175465,9440.483348059655,9205.486505496501,9445.834706411362,9485.634327564241,9496.51471285343,9384.158593688011,9229.357224464417,9373.760807409288,9369.530709846022
11,9185.597422618866,9148.787209451199,9296.540413160325,9050.946731278895,9279.263948574064,9366.230760455133,9338.881822104453,9306.718307089806,9053.20918416023,9262.685563859939,9228.88613627529
12,9254.50410850525,9225.35003902197,9399.888862404821,9157.817471997734,9372.521131305693,9410.489681949617,9450.69947751522,9349.370858101844,9118.832268743514,9320.7022246933,9306.017612423897
13,9305.92125360489,9406.220083096028,9455.91251771927,9317.056933877468,9541.873671355248,9452.431808843614,9637.36728928089,9417.430851950645,9331.418025550842,9421.010243949891,9428.664267922879
14,9148.12279250145,9221.684736053943,9354.882297935486,9149.475451829434,9463.885460033414,9337.571200122835,9520.772954840659,9282.7762615633,9134.71777961731,9282.046523942949,9289.593545844078
15,9367.929566802979,9438.747788579465,9507.070517997743,9291.253519637583,9571.90427991867,9492.426803975106,9767.827121539116,9445.205787482262,9330.622868499755,9445.146367378236,9465.813462181093
16,9313.730820331573,9296.58930506468,9441.896502895355,9029.671245915888,9437.655760183332,9352.76729696274,9705.74455186367,9356.314829640389,9277.257042417526,9392.010908355713,9360.363826363086
17,9385.988490715028,9443.522509407996,9485.229056327344,9110.799818522928,9480.88134141445,9352.373752503396,9817.335613188743,9400.107606649399,9375.456204471586,9450.175189652444,9430.18695828533
18,9596.711700258254,9654.141830530167,9674.166005170346,9300.65934113264,9711.85128378868,9559.388907709124,10051.123537507054,9619.086986756325,9610.181639356611,9656.435561542512,9643.374679375172
19,9559.56609711647,9596.21883228779,9692.22194503546,9310.716797273159,9705.902221908567,9579.24448238373,9993.926015868185,9605.32966585636,9576.086556587221,9651.296922893525,9627.050953721047
20,9378.312875890731,9427.560637307168,9524.120618607998,9144.39891402006,9533.95124979019,9442.170247807504,9801.622819418904,9431.59982893467,9323.80321852684,9433.6617906189,9444.120220092296
21,9575.552246799467,9647.923648529055,9578.703794171808,9317.989429414272,9619.526711091994,9500.683101725577,9966.104428372382,9523.239362349508,9406.136986789703,9469.941593008041,9560.58013022518
22,9714.38979089737,9755.0857280159,9549.684536745548,9401.301736371515,9699.959440965651,9504.31740384102,9977.058675847053,9585.564505124092,9480.258644475936,9514.132101039888,9618.175256332395
23,9686.747273378374,9704.388659901619,9337.697200658322,9281.476934182643,9629.816433248521,9321.792102694513,9892.819513306616,9442.977129483223,9344.015310220719,9352.838799104691,9499.456935617924
24,9607.766988725663,9696.49939230442,9225.885813748839,9159.278986661433,9595.343293533326,9285.680525636673,9927.189693112374,9372.308575043677,9209.021860494615,9253.864589815139,9433.283971907616
25,9575.982083063127,9643.619722638134,9269.792638299465,9162.317543961999,9544.46543970108,9296.674569859506,9870.785968251226,9380.018110175131,9191.338604478837,9257.785052070618,9419.277973249913
26,9443.427502889632,9496.017516179087,9231.073856060506,9051.829611995221,9410.397506942749,9289.989772610666,9790.022089123724,9333.015525221821,9159.240026330948,9223.057552757262,9342.807096011162
27,9357.251754779816,9393.00447078228,9160.498795974256,8931.230330493447,9345.480894489288,9211.58778442383,9761.866344447135,9219.964146990773,9047.730473108291,9136.534732456206,9256.514972794534
