,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,9996.9,9989.194363727569,10007.199999999999,10001.294430065156,10004.588068857192,9974.674005284309,10019.66732526779,9993.24168390274,9983.363134527206,9991.953354187011,9996.207636581898
2,9880.6,9827.420487747193,9841.81,9862.18736070156,9861.891928691866,9873.00913347721,9898.37184835434,9837.399663333894,9844.481642222407,9884.177822284699,9861.134988681317
3,9732.347453913688,9626.928614449502,9600.82609734535,9670.35160709858,9684.781442809108,9721.855377488135,9693.333012084959,9627.483660926819,9653.613522896767,9651.40423256874,9666.292502158165
4,9618.738605318067,9557.398090734483,9505.017605838773,9582.537464489937,9570.644364380838,9652.065705351828,9574.142711284161,9507.258642182353,9600.055606389045,9514.8778554678,9568.273665143726
5,9639.489062409399,9585.24022917509,9534.077268943785,9602.762375383376,9616.115045475963,9678.676533455848,9584.675814816954,9519.753885188102,9639.543640217782,9523.595540466311,9592.392939553261
6,9720.738038129804,9639.745407023429,9616.532017221447,9681.965100917814,9675.703808422086,9734.69491762638,9649.351815443039,9571.155689558984,9665.597731966975,9620.040917520524,9657.552544383048
7,9557.43668156147,9463.552340297698,9402.576300973891,9529.691032114031,9460.529535470014,9514.595447916985,9507.051891736983,9372.690652532578,9395.130987849237,9397.221053414347,9460.047592386723
8,9752.100668106079,9612.098313956263,9555.071481103896,9727.990359086993,9579.716050996782,9655.043124785423,9750.256057610513,9445.156933393479,9565.3176058054,9509.50910511494,9615.225969995974
9,9491.440022993087,9380.407601537703,9335.074591693876,9536.792792892455,9379.219962472918,9419.997361426353,9574.998880877494,9238.497188248633,9308.902832436563,9275.95155723572,9394.12827918148
10,9492.951511917114,9414.448818745614,9347.983863306043,9542.84364923954,9389.463450217248,9449.79278192997,9527.513457186224,9286.014005889892,9345.985664706232,9393.181329250334,9419.017853238822
11,9254.535026791096,9353.4947467947,9180.707369918822,9349.58167254925,9193.27760426998,9288.93525404453,9370.646094219686,9252.32768398285,9214.026221642496,9409.177757415773,9286.670943162919
12,9401.285770192144,9419.06525364399,9253.67884962082,9391.898520755769,9297.771250205044,9306.042662491796,9489.486874105929,9312.72766046524,9201.151538500786,9417.914863672257,9349.102324365376
13,9636.40110497713,9599.403408398628,9345.935305671692,9556.142961215972,9341.595262155533,9395.04004277706,9674.796515214446,9256.064484915734,9357.616564679147,9532.733175292016,9469.572882529737
14,9531.317752013207,9468.710480871201,9242.823056001664,9453.347317914964,9270.184496273996,9275.680936417577,9528.09529316187,9164.796353936195,9179.852450642586,9436.796325635909,9355.160446286918
15,9709.65517424345,9700.132570238113,9446.778993892669,9710.39140882969,9430.330359177591,9410.29785311222,9766.879622299673,9275.68736026764,9330.497442946435,9519.39813067436,9530.004891568184
16,9629.72652782917,9569.379953765869,9220.9983262825,9577.68110414505,9277.321462292673,9330.338234858511,9705.364613735677,9208.382018485068,9259.867814507486,9424.578031530378,9420.36380874324
17,9683.928505222795,9724.842993135451,9252.294871721266,9632.048536548615,9343.500162358285,9340.956461434362,9826.885502188206,9204.648415296077,9356.897356157304,9407.731636514665,9477.373444057705
