,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,10002.967511214914,9997.756822155716,9997.56651522269,9997.483661637454,9991.551809794608,9997.694484949714,9997.237422755656,9998.223667590619,10001.1319104892,9998.450348103494,9998.006415391406
2,9988.643285366505,9979.264065416088,9968.940838601495,9973.521755760306,9972.71299886227,9967.92507515863,9978.616332182952,9960.970977784544,9977.891055927426,9978.073624852974,9974.65600099132
3,9950.528462460008,9934.023324437512,9934.109344842227,9922.59357516154,9935.011955630409,9916.714615459296,9952.95205957643,9906.76683955759,9948.749907664658,9938.822462683102,9934.027254747278
4,9914.566176841503,9910.397773759589,9904.089393829217,9892.119750720405,9904.107549081786,9891.8435602225,9937.336413045856,9869.516359611138,9927.104509183842,9910.864709202579,9906.194619549842
5,9924.490321147256,9916.421990959345,9897.183611441716,9901.800096962888,9917.456542722926,9909.645497636684,9942.113086986576,9876.208692116064,9929.078546673956,9920.38093034715,9913.477931699457
6,9944.73861414289,9944.448965535683,9926.357450633215,9927.455039847706,9952.88667692256,9925.726117405893,9965.6212469184,9893.044819571676,9946.586161905381,9940.794973905466,9936.766006678885
7,9872.430484384782,9873.867841250521,9843.374912834912,9822.581600818028,9835.064440609933,9843.369293307363,9912.057922456932,9801.78825765814,9885.477836188602,9884.253402441078,9857.426599195029
8,9942.884460716752,9931.556927645206,9928.842238930747,9882.613431774109,9885.681781987963,9882.611045772508,9951.671975975367,9885.251482689851,9918.477052866445,9934.310307121657,9914.39007054806
9,9828.171391818301,9849.270916903692,9832.175356924407,9757.678181875155,9776.627636203586,9792.65342935331,9905.602183899467,9763.002990200599,9844.077038194762,9840.700078192956,9818.995920356623
10,9836.094204479366,9867.953750258612,9836.40703422865,9769.39311478117,9800.203419464347,9816.72542498171,9916.00464687608,9764.975695990892,9862.229929854198,9846.92655872189,9831.691377963693
11,9739.051835617724,9806.441922078433,9763.67798092133,9688.457058338054,9715.289927634265,9745.739199238344,9872.083786336552,9696.548770329711,9819.884899665043,9802.992956032163,9765.016833619162
12,9780.28071840039,9825.46269427456,9830.047940386277,9709.035069476753,9759.580232812208,9756.876978620216,9895.604593106207,9745.505214695457,9839.13405503325,9853.63015987993,9799.515765668526
13,9873.508482049316,9912.079697496298,9943.230111932142,9828.58761403646,9872.142227235066,9862.921384210364,9956.142809378212,9797.450364541095,9921.877156996798,9910.426317087271,9887.836616496303
14,9785.606836827828,9824.917027152744,9839.2008975553,9721.470675380224,9772.69082138848,9766.05322279662,9915.263036507811,9696.134631813795,9829.432155177217,9872.155866244073,9802.29251708441
15,9928.616216231103,9906.748182163576,9952.398545611186,9831.327429514411,9935.095970526156,9870.935226792322,9996.723566727289,9823.808860556172,9918.620033842992,9961.067968409516,9912.534200037471
16,9810.803344637252,9864.183904632184,9790.710531010594,9781.37669990811,9753.620725684728,9795.964198578895,9975.731535935502,9751.179123359067,9876.900524910983,9906.34020932407,9830.681079798138
17,9874.181388234647,9912.166698199328,9858.00567183968,9836.686609773817,9804.524011485693,9861.094173466638,10010.072567530866,9790.420649441709,9935.048951301273,9980.300942661323,9886.250166393498
18,10025.523156008967,10008.393201774736,10048.800082296042,9995.158224766958,10021.346578190445,10062.033495408186,10127.278715855111,9936.885593499426,10023.288781936162,10154.516116274342,10040.322394601037
19,9997.954149923216,9982.973187232134,10061.061239870436,9975.592942119089,10038.131180682001,10034.052532531285,10129.147009279099,9957.770684970728,10032.868087628256,10181.119135023884,10039.067014926015
20,9874.374523673974,9862.238630951204,9853.56609268589,9779.456119724677,9827.388311426756,9819.291821899003,10013.077663068345,9834.812132381594,9935.153325929263,10013.077255822318,9881.243587756302
21,10022.799386476578,9921.732454966463,9939.13360267502,9833.89666976446,9918.971454212036,9850.175874324927,10045.01652804798,9884.690046257761,9966.483012782775,10042.866563378917,9942.576559288693
22,10090.844576167598,9968.445743854685,9991.26557737252,9892.01060173014,9975.555350289293,9906.998879989424,10079.486933233016,9905.468350421197,9991.179901954525,10045.551226568492,9984.68071415809
23,10054.302981831268,9938.173729609258,9869.616081938038,9804.759100585896,9820.408742527854,9810.254829589388,10006.029075549724,9767.806175025611,9918.579701418124,9846.4974776939,9883.642789576907
24,10033.421561716797,9867.15640338511,9792.170410430488,9655.10708564056,9654.594149083145,9628.34868650224,9949.314348901606,9655.357603223842,9866.106171660118,9728.46475927093,9783.004117981483
25,10000.149454545084,9861.085389020263,9770.785389110079,9674.827266038228,9666.454123347554,9634.409327970034,9938.268020363648,9660.024491040507,9873.67778289392,9742.599307007647,9782.228055133697
26,9900.217658899728,9814.602931417692,9702.012499967088,9643.052220276055,9606.142623147389,9605.436858584917,9932.163187793572,9653.100322069458,9848.739452293585,9716.792749131593,9742.226050358107
27,9729.885648183137,9694.53426952513,9571.470333219395,9547.449406173731,9414.542953799652,9460.649219313522,9824.386285136345,9486.491767670403,9743.741921949155,9563.627404221603,9603.677920919208
28,9923.412612026856,9838.609483183493,9734.348160807289,9730.71901807541,9568.63692504848,9676.674368331467,9925.380782907663,9653.697961045618,9848.601383536376,9743.895144506849,9764.397583946951
29,10017.371556614138,9917.408929412344,9875.16545360206,9821.436648788507,9704.122043210646,9831.217891065218,9993.892492524321,9761.948764035962,9932.368876414888,9883.599426338309,9873.853208200637
30,10129.520128313625,10005.409823448304,10081.625368583205,9983.541831136401,9855.267566013134,9954.810241465342,10097.216955434227,9904.725064525048,10033.348408747233,10022.372012294316,10006.783739996083
31,10112.781781522615,9940.416769928692,10052.364780645226,9933.538710840172,9864.778688308583,9838.141738454287,10067.756262285202,9889.063546044197,10029.690720960341,9975.723132933535,9970.425613192285
32,10096.6087203954,9931.262622093353,10024.375903332162,9951.75244568018,9858.636717378482,9835.541541200575,10063.299333112438,9913.028291708344,10028.627815209134,9945.530437438198,9964.866382754826
33,10234.831913317797,10004.465497772675,10185.319506656273,10094.156683454044,9973.539441645782,9954.07603109665,10216.030783925693,10074.10631429013,10153.372837356805,10102.341395539166,10099.2240405055
34,10128.242740586478,9887.058120019345,10045.274972229636,9978.57221313672,9895.568339067795,9826.652800386693,10120.811019266128,10017.056444830301,10077.639668063997,9984.05133328921,9996.092765087631
35,10169.5660695369,9910.195444387926,10070.718015022412,10017.241851599903,9925.452535501889,9862.722201126438,10190.78315659254,10053.320807688611,10118.351671063405,10028.752371119548,10034.710412363956
36,10310.350591924323,10006.366966151132,10172.534919979207,10129.378166850773,10060.112141546759,9983.718217384068,10347.293848121106,10217.80501742151,10270.235099816407,10178.775166977372,10167.657013617267
37,10278.000721353686,10002.524952258003,10119.768263842396,10086.777871930559,10054.20535389174,9980.505694163141,10289.695522032504,10164.972600187588,10244.15755409102,10145.323203118844,10136.593173686948
38,10188.830444850495,9940.997502816152,10066.91834386998,10011.661621807454,9988.463713106834,9907.290812355428,10213.410314940327,10084.669358576797,10198.638861829071,10073.36553337573,10067.424650752826
39,10367.18398660107,10162.198297809347,10271.821572319797,10222.211572565187,10202.798612244786,10163.57519250132,10370.15602958741,10258.925378062093,10375.266331969377,10249.27794811505,10264.341492177544
40,10427.72120940561,10190.669205834478,10305.908656269612,10241.895519896869,10196.991221111066,10169.253941442965,10378.115424471203,10265.325593010522,10383.964875947266,10281.84901680325,10284.169466419282
41,10467.119279037697,10242.747472025287,10366.00785723165,10297.638822355471,10214.612797770615,10208.448167720882,10390.5100952905,10290.06789643683,10398.61990035887,10280.317082994143,10315.608937122193
42,10501.29221689463,10300.00908361046,10414.425022274525,10306.77432068364,10243.911240759178,10237.59809867233,10414.99889239251,10292.897458644044,10437.672228625075,10323.046032552282,10347.262459510868
43,10585.793514613903,10309.453134223728,10527.982787665507,10356.645033925266,10245.004410377931,10230.458716764522,10454.483600705054,10307.557226139252,10436.316907922768,10364.734279717364,10381.84296120553
44,10486.336196550115,10176.329149534835,10410.822790943821,10314.954469959748,10182.787879840987,10138.923203715383,10431.869667403382,10322.710215966687,10379.994911960692,10307.959806089411,10315.268829196506
45,10488.510087741568,10175.701547239854,10519.507032496898,10334.316153410944,10209.67678662066,10129.346345416528,10472.42934127611,10317.518471859785,10370.440154481783,10349.162129527915,10336.660805007205
46,10473.79476600405,10188.242845715193,10514.273636252216,10305.863953768996,10231.943524000033,10149.34740302637,10457.429031793432,10326.534967985268,10379.735973274586,10317.410469532282,10334.45765713524
47,10557.692763115188,10284.437383262908,10618.408050103286,10433.906053524031,10354.61171462226,10306.900708418936,10564.010830095775,10468.114315960018,10500.541742957746,10431.475155860566,10452.009871792072
