,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,9994.3439884305,10001.362439979313,9999.275973908456,9989.71145866096,9997.22426105621,9994.933626960814,9999.495228481588,9995.927439968662,9997.951088926644,9996.801199824733,9996.702670619787
2,9956.481479517075,9990.425443419366,9985.6581433837,9958.505855956671,9974.958471000184,9965.58830800295,9974.635427414849,9975.428505105154,9970.54415684201,9961.39137789197,9971.361716853393
3,9892.739400596733,9943.39509828597,9930.750688524759,9922.640840659662,9925.306826925495,9919.688758608514,9908.639653214883,9918.139726735668,9904.959416508565,9891.97037639867,9915.823078645892
4,9866.318286641465,9921.789723808793,9907.865808039205,9891.679571117462,9891.901786472341,9894.80476380363,9873.291735626233,9892.839500960908,9889.139082308751,9853.385677971575,9888.301593675036
5,9870.549706572425,9927.358036597729,9919.00420804646,9896.990031791245,9891.288733237025,9901.97969556078,9889.8558573514,9896.534994057813,9907.05829611596,9864.231180141418,9896.485073947226
6,9883.60569417728,9949.059860469302,9952.870483639743,9921.224945559381,9906.62739327674,9914.978550375403,9914.552385473744,9909.352228432623,9922.704050501998,9905.154057442654,9918.012964934887
7,9786.187312424088,9861.092816561975,9864.113754302933,9844.213150727719,9843.954710256021,9859.952042400055,9842.091751593085,9816.005685410482,9862.085853880835,9809.498412884566,9838.919549044174
8,9853.220750608441,9887.767643582363,9918.144660856287,9898.584379524524,9910.315170375641,9916.927305244804,9880.891276809509,9852.889116983582,9931.005482747147,9852.538543667439,9890.228433039974
9,9721.166926703627,9789.761421960977,9791.356102115318,9803.065211273442,9806.875338010443,9814.80196408341,9785.471328044236,9764.729536221848,9829.557163633473,9752.4694992581,9785.925449130487
10,9727.833729870414,9817.257950121619,9817.01389862436,9807.981030814175,9806.10976676367,9841.748245242834,9771.267740764251,9773.835880812716,9831.867537072816,9776.091634440943,9797.10074145278
11,9653.422662880843,9751.232126427172,9749.026111713138,9707.413365551709,9718.503147987227,9771.849944649639,9701.926216358166,9711.3393925719,9734.7617504391,9694.239421309527,9719.37141398884
12,9686.041993390845,9772.548641662182,9788.634696108262,9755.555364592441,9753.398699792158,9808.359055117278,9742.183219126255,9743.100948124407,9768.051462600819,9745.64044129878,9756.351452181343
13,9762.79191443795,9863.920674318315,9857.398083313294,9845.031223346086,9820.346621971632,9895.574971148122,9853.681173255396,9817.052688054788,9832.78173928355,9829.216131396552,9837.779522052566
