,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,9993.686181755063,10001.693147697446,9994.470430841448,9983.007689161303,9998.662138338088,9996.85208392143,9959.730011787411,10011.793977699279,9984.338255023957,10020.29241106987,9994.45263272953
2,9812.904524564741,9874.988392133711,9826.433538570407,9810.592032232285,9857.491797971725,9832.903256082534,9788.256216764448,9892.916570501324,9816.499741945267,9869.761189546583,9838.274726031303
3,9622.960056533813,9760.369576368332,9643.846917238237,9490.381858444214,9635.158662996293,9572.344198799134,9598.062455654142,9704.477947931287,9567.900977516172,9646.871091279982,9624.23737427616
4,9553.968542213439,9659.49088882446,9529.759343566895,9396.251423530579,9534.233793497084,9474.441692690849,9529.29768619537,9597.916947250364,9474.350313682555,9512.602172460556,9526.231280391214
5,9577.108019409176,9673.58545339584,9561.275426921844,9426.163703470233,9571.173945798873,9512.18358039856,9568.726064834593,9608.289968156812,9502.108817873,9524.220981378556,9552.48359616375
6,9618.123541355131,9713.10461657524,9635.094801683426,9516.573179883957,9649.304769449232,9571.589422912597,9616.598494529722,9673.471093091963,9567.193578691482,9592.85421462059,9615.390771279333
7,9398.761367931365,9555.583983898161,9402.35168498993,9249.639458484651,9381.137588205338,9368.50604587078,9414.163011255263,9510.664899930953,9363.50169395447,9364.948714723587,9400.925844924452
8,9573.668185300825,9704.255762786865,9495.378123054505,9386.156701631546,9493.298649654389,9512.289120078087,9579.673962640762,9670.724780912396,9518.345908670424,9513.011879959104,9544.68030746889
9,9350.748046979901,9507.33279384613,9290.347780561448,9180.748138580322,9285.656594667433,9281.634906458854,9319.947735643384,9494.188480234143,9292.616902151107,9280.883633718491,9328.410501284121
10,9369.72521597862,9513.976790847779,9327.958590040209,9205.869342842103,9344.504462375638,9314.939691629408,9299.156009368893,9533.259647340774,9310.36121675491,9261.703498687744,9348.145446586608
11,9249.282058229444,9357.9340056324,9203.585629730225,9060.122021198276,9195.948070344924,9163.430920205114,9141.692294549941,9377.816657686231,9176.873191137312,9113.487014188764,9204.017186290264
12,9299.444221677777,9435.461373386383,9290.008289051055,9126.034785051346,9262.58720846176,9214.861599440572,9153.317116842269,9437.440087652203,9235.939946212768,9255.200228624344,9271.029485640047
13,9392.980473384856,9488.958438978194,9353.461884984972,9334.92814301491,9436.755392370223,9387.225723009107,9273.553357186314,9514.42834449291,9416.91187918663,9414.655047869683,9401.38586844778
14,9240.928217878341,9394.186872901913,9241.53058828354,9179.127421493533,9312.322788305282,9246.71958280563,9083.238941717143,9424.982796144483,9278.514802351,9303.323539505005,9270.487555138587
15,9434.775028085707,9602.234627523421,9413.12358705521,9337.810874767305,9465.74061375618,9465.085440087318,9205.661239738462,9608.295455656047,9418.070128498077,9459.239681100846,9441.003667626857
16,9376.040910539627,9547.710547685621,9303.007594928742,9115.22357847214,9293.36678261757,9266.788034982677,9083.435610332488,9548.895831766127,9252.326334524154,9280.038064146043,9306.683328999517
17,9490.01045155048,9579.03292054176,9322.577246141434,9234.782660231593,9402.066673231122,9379.539354135988,9171.685541191098,9587.277604274746,9349.202545843125,9390.387743153571,9390.656274029492
18,9703.302493801115,9773.420511636734,9532.318435459138,9457.392105894089,9632.770228023528,9578.002493124006,9370.531467857358,9795.96629906654,9544.16423092842,9607.23948887825,9599.510775466919
19,9689.095702304838,9763.423926639554,9541.876076498036,9446.950241203309,9662.707372484207,9542.716637492178,9345.302856721875,9800.810162343976,9541.636858854294,9639.183506975174,9597.370334151743
20,9463.186922464369,9664.850979423523,9380.088324460983,9200.590689601899,9426.01146285057,9372.606146755215,9097.099910402294,9688.46495937347,9340.671465644835,9418.566885547638,9405.213774652479
21,9531.011928462982,9800.2783943367,9452.196884660721,9280.558028230667,9455.96485445976,9525.6539086771,9208.364138669966,9768.78136264801,9426.514875478746,9497.792579107283,9494.711695473194
22,9581.127800102233,9820.635810270309,9463.133692092897,9338.348179082872,9479.503390388489,9564.632462639807,9347.507218427656,9812.513468790052,9506.194630908964,9491.404361371993,9540.500101407528
