,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,9990.15446173534,9995.784628403931,9997.115408081114,10004.594656820072,9998.971772928831,9998.510946075618,10003.213503539862,9994.155442554356,9988.709727898386,10000.645972059965,9997.185652009748
2,9967.655664591011,9974.047488628776,9971.981226919515,9983.421661699635,9980.048227661176,9978.476445010341,9992.56836207569,9978.288022882494,9959.03240726348,9970.030442726316,9975.554994945844
3,9917.436255891847,9914.177324885877,9904.97728195317,9915.118065600913,9940.534570517433,9921.752069879545,9964.95706592441,9933.398862409815,9915.850448795036,9897.309988598527,9922.551193445657
4,9900.553519962989,9882.883809131981,9868.22143734969,9882.003207881615,9922.28266241555,9886.20465928178,9932.74127542949,9916.05882649347,9895.138401503564,9854.850637860896,9894.093843731102
5,9921.749473830761,9892.604130856396,9876.356815521707,9890.46979957651,9936.21067221065,9898.641513964458,9939.613112238221,9932.586241236882,9907.192511781543,9859.653590211721,9905.507786142884
6,9941.982476604173,9922.516137818024,9908.598018617802,9925.476816860284,9967.727021708684,9927.642834146245,9946.534808003182,9955.801753228898,9927.979971975297,9894.384944602476,9931.864478356505
7,9855.303008254134,9840.539566884301,9780.948622442564,9815.929365293472,9891.041665118306,9817.488256671575,9892.669879326211,9886.603090008492,9841.171235233036,9785.975829656687,9840.767051888877
8,9932.701406983382,9909.33547873892,9831.912730561817,9887.854901849563,9949.700836154267,9880.912095715365,9930.574922557833,9945.010361191962,9886.575181459866,9860.940893446692,9901.551880865965
9,9833.869777653294,9799.033351260481,9722.809751486031,9768.515161856016,9873.085468116746,9722.7554008872,9857.083866079212,9844.915080001389,9793.705996052107,9756.645420574881,9797.241927396735
10,9841.477066262569,9817.01330298815,9758.51512066351,9776.67311730246,9883.636339958652,9747.512608864014,9873.942205909834,9835.65327232208,9815.475135256207,9755.566572014464,9810.546474154191
11,9776.57238169929,9768.905900520089,9684.637114082805,9681.85256950547,9826.607331384315,9626.071891273963,9835.524136343456,9717.019743107072,9764.31057866902,9690.956907169406,9737.245855375488
12,9827.759272182751,9808.242105511057,9713.69136808534,9716.951986597749,9852.939502270045,9667.779210326542,9869.786034586286,9774.70412492741,9807.232066373908,9714.3499043465,9775.343557520759
13,9896.660079355173,9872.537130575143,9798.466665822012,9798.387674831069,9912.234276356743,9804.854267821926,9892.64292439359,9863.415846952761,9871.176913627098,9809.440129102502,9851.981590883803
14,9828.068654155153,9811.418164756651,9693.210571821779,9726.746574590195,9854.689229839416,9693.989234510069,9821.287937110017,9778.314211022742,9792.280465139607,9731.296381847631,9773.130142479324
15,9956.047653535177,9935.544872352668,9829.662507391673,9872.781731352854,9984.388919290946,9843.884696174511,9902.78184140964,9889.5588414675,9908.591734116346,9830.37048553161,9895.361328262292
16,9924.905454782034,9854.72839659758,9687.27982503492,9825.204974852346,9873.936517783077,9748.763827057779,9848.999400506229,9807.384833605327,9851.508872544178,9750.689794003272,9817.340189676674
17,9976.863910408309,9948.150354375988,9743.84194082814,9886.569932725524,9926.10294418403,9844.752824409394,9894.783707022987,9834.293596341575,9892.298546662907,9796.295994004977,9874.395375096383
18,10088.631576088606,10075.03575142421,9930.07828798982,10040.22265673553,10094.754139456942,10064.382220919993,10058.046612251721,9955.616928419062,10053.120478839022,9946.758404826043,10030.664705695093
19,10081.670067926769,10076.431623253558,9940.018976794629,10019.339706598774,10088.500199484906,10059.583202070353,10072.991270317012,9939.519046277703,10052.242255481804,9918.62335291498,10024.891970112049
20,9990.187532976302,9945.20831179589,9741.806085410115,9903.491018206267,9946.132625603868,9857.618269568655,9963.386694042856,9842.65995576058,9893.826662159263,9766.199762568962,9885.051691809276
21,10041.452944967377,10027.484744848274,9848.006521348641,10011.432454902004,10041.615436145465,9939.843219671502,9987.164075514102,9944.965809595775,9921.190428729624,9841.858130813878,9960.501376653663
22,10086.066021444567,10047.759601042271,9954.456000800345,10078.23278535876,10070.636456298833,10010.720774851041,9996.062960937195,9982.720601589612,9962.197016607239,9860.450408493285,10004.930262742315
23,10006.199142192121,9953.795399228375,9877.714567443392,10025.306892719675,9928.60616038219,9871.316625838113,9875.41802435937,9940.685250473922,9849.002311343507,9710.017396432988,9903.806177041366
24,9951.775035157076,9903.020617610515,9720.010168380928,9945.535150523048,9869.428628505175,9663.412409622028,9801.39909810687,9900.53631894954,9742.284367806986,9661.899624838481,9815.930141950066
25,9965.481334389024,9880.079510289954,9703.339109082974,9932.412868932928,9887.798785352956,9659.29421377981,9825.355292612132,9869.774868727445,9743.542142838634,9659.970160993156,9812.704828699902
26,9909.327992972334,9825.785311311854,9642.117194026054,9854.594032181478,9855.022832671431,9582.097970679562,9828.263869110035,9805.824012821844,9723.980457454625,9646.197623622607,9767.321129685182
27,9824.614244960121,9718.184784857742,9407.760032709983,9727.815342332602,9720.49365211236,9319.38609612777,9743.484590830678,9721.36333458912,9605.270152289155,9572.498659125255,9636.087088993478
28,9947.83308542236,9828.97360775888,9598.647937793236,9929.163792029,9844.369148816208,9523.781098294703,9897.173598362308,9877.7576421617,9722.988884715653,9728.6327926226,9789.932158797665
29,10033.753870354036,9920.880890832168,9770.27323439931,10010.632268780408,9999.696541377125,9707.025806352045,10020.87139393822,9995.644869307174,9835.96484144981,9806.836182532761,9910.157989932304
