,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,9965.5,10007.75,9984.518501806257,9964.900003623961,9991.349999999999,9975.901476869585,9990.548309373857,9979.200002908707,10013.754173574449,9987.0,9986.04224681568
2,9807.773394548893,9838.449999999997,9813.768501806257,9812.63959142685,9824.63,9832.201402435305,9841.074734277725,9811.404300186636,9843.69546354294,9823.562690272329,9824.920007849692
3,9521.266889455317,9623.26244240284,9599.00492959976,9656.251956651213,9557.528700118064,9603.46506807566,9593.034747109412,9537.827670271397,9597.484643177986,9545.441316084858,9583.45683629465
4,9441.291854336261,9525.602856333257,9495.595908236503,9563.44586607933,9448.73137649059,9492.095657868389,9507.84831997633,9462.87164884329,9470.859794869424,9469.844423003196,9487.818770603659
5,9503.455331909656,9453.641115243434,9539.208336720463,9652.308853282926,9437.15275340557,9509.935536522866,9554.526311249732,9473.845735504627,9475.659758033753,9464.781448822021,9506.451518069505
6,9589.908890340328,9518.57091868162,9586.133387928005,9709.883165032861,9549.713876562117,9587.600132486825,9620.465075840952,9524.26355432987,9542.522127695082,9558.435987577437,9578.74971164751
7,9314.809448015689,9354.287164130208,9395.233120269771,9427.437696192266,9383.61363576412,9335.241580500606,9426.521606278418,9275.036000242233,9357.941878635884,9362.093484454155,9363.221561448338
8,9391.28550601244,9568.374869256018,9507.152660632131,9495.009830982684,9606.216250500678,9428.372718296052,9575.155847444536,9398.294258058073,9499.322233495714,9545.469850134847,9501.465402481317
9,9159.108268606664,9308.711633682251,9324.468362317084,9257.93406968355,9402.722861170769,9163.647371399404,9390.247609255313,9180.26221601963,9253.765318784714,9337.696896286008,9277.856460720539
10,9150.349531309603,9236.97761895418,9346.53684494972,9260.4113113904,9347.712341103554,9168.402632434369,9422.487069220544,9167.834060807227,9233.395632228852,9367.920081109998,9270.202712350847
11,9010.66346368313,9063.303852033616,9233.02259325504,9037.829189589022,9151.781528515816,8999.473874323368,9318.613692631721,9039.686999382973,9084.377215070725,9331.972763805388,9127.07251722908
12,9113.638716614247,9165.766184864044,9291.704979929922,9136.737864296436,9222.652177796363,9062.696017806531,9337.958951168062,9119.562876725196,9174.011646637919,9350.063719043732,9197.479313488246
13,9337.656382341384,9335.270926141739,9105.340416445728,9204.358180344105,9420.95064230442,9073.731781632901,9368.09966023922,9323.634540381432,9315.402341725827,9539.670214588641,9302.41150861454
14,9228.430507826803,9116.392932126522,9071.79239036083,9111.489202458857,9271.051402592659,9004.71662913561,9303.543102271557,9108.130372753143,9182.974876015185,9402.644318616389,9180.116573415755
15,9390.865525367259,9284.433470540045,9177.061644911762,9191.992836856842,9440.55688800335,9192.711074950696,9579.6799634099,9326.899529044626,9425.354474995138,9604.817548482415,9361.437295656204
16,9140.262661395072,9182.352370433806,9100.601700134273,9116.188095960617,9166.928112778663,8735.81178210497,9534.273863222597,9257.551731987,9247.925653128625,9448.164614546298,9193.006058569192
17,9212.350486149786,9297.70933921337,9116.082796897887,9141.498028907774,9280.597514643669,8743.346056351662,9537.721303062439,9426.651770615577,9344.042343997955,9526.284158339497,9262.628379817961
18,9484.34802478075,9456.303104023933,9295.10224942684,9376.424595050808,9471.243988928794,8954.838119497299,9783.117264139655,9640.081588003635,9527.136239385605,9800.955683598517,9478.955085683583
19,9468.546120450495,9447.562354414462,9371.138573956487,9395.366305723188,9438.181677718163,9006.04595932007,9768.62214505434,9618.171516976357,9486.503222446441,9770.756985235212,9477.089486129524
20,9320.525585107802,9244.860085771083,9260.388422966002,9213.49707095146,9234.322666029928,8764.700510663988,9632.649060080052,9487.828166873456,9281.708722968102,9583.089087214468,9302.356937862634
21,9427.351351499556,9448.88099006891,9282.968709444996,9222.119430627821,9432.562199378013,8944.171011209492,9682.96543693781,9678.485409266948,9451.433588693142,9664.681560611725,9423.56196877384
22,9412.009136674404,9566.432288463115,9303.388085641858,9267.02816710472,9510.938937468527,9007.933001241685,9680.745292892458,9802.809388682843,9501.735071468354,9691.854531574247,9474.487390121221
23,9199.289275176525,9459.357488291262,9123.450564155575,9140.946403074264,9389.955432152747,8905.084879817963,9453.580823006632,9708.1118334651,9408.341165606975,9515.113307547566,9330.323117229462
24,9055.916445231436,9430.237743418214,9001.92375704765,8940.12283425331,9386.642493195535,8714.180196409225,9473.876821677686,9536.008920679093,9326.3698067832,9467.736335096355,9233.30153537917
25,9090.57529848814,9375.448269627095,8992.630983872412,8935.582649021148,9306.780787901876,8695.503433179856,9478.247582070828,9556.404240016936,9318.767273328305,9482.86780850887,9223.280832601547
26,9021.262058770655,9292.90273462057,8956.960862603186,8838.222800302505,9239.549076867102,8546.210356388094,9448.479896383285,9441.903623199463,9249.336451392175,9480.196272773741,9151.502413330078
27,8932.312158300876,9235.082437531946,8801.383795037267,8758.12157218933,9094.093435454368,8289.818680453302,9417.541952068806,9284.228394384385,9025.092118341923,9373.091396183967,9021.076593994618
28,9093.435786960124,9459.724123826027,8987.039651527402,8955.737216529846,9248.66992433071,8381.683486051561,9548.023660838604,9527.306725635528,9220.003312468529,9509.109938402176,9193.07338265705
29,9255.601818444731,9533.57000952959,9104.009892215727,9080.265140762329,9385.090189881324,8585.88605970383,9649.574389865398,9716.404223365784,9344.442213408947,9658.16792765617,9331.301186483382
30,9461.410314776896,9759.827237470148,9207.859612569806,9242.617930889128,9609.565320534706,8806.449235830309,9725.419707100391,9870.997851924896,9501.76018797636,9830.620341577529,9501.652774065016
31,9423.517170274255,9651.35290826082,9288.49824533462,9254.448313703535,9626.334916758537,8837.855328831673,9771.215121476649,9773.635656690598,9486.254174823764,9784.524967412946,9489.76368035674
32,9412.327394692897,9645.826055107116,9310.848597950933,9295.335130834577,9601.526700835228,8760.572239203457,9766.24176059246,9741.971412305833,9449.434648830891,9764.158273277282,9474.82422136307
33,9543.851528079509,9838.291759085654,9432.19466726303,9412.884931344986,9743.457851681707,8905.141454653742,9850.023630032538,9882.336580619813,9641.340186519625,9923.151000752448,9617.267359003305
34,9438.841702239512,9653.107265503404,9347.369129319188,9378.446281299588,9586.12836884022,8821.66647119999,9728.514924211502,9755.023522615433,9504.150709295274,9792.963527851103,9500.621190237522
35,9470.962541959287,9705.348392086029,9358.837430143354,9435.657371234893,9602.315855488778,8775.964465527535,9774.721853709221,9804.113318414687,9548.423597500323,9824.49929204464,9530.084411810876
36,9568.253222997188,9807.949552559854,9506.015078921315,9553.351503114698,9684.228576169013,8862.214330563545,9898.605529277325,9927.72397198677,9720.962077565195,9934.465468058585,9646.37693112135
37,9531.7147703433,9765.979141249654,9464.362468323703,9488.2849700737,9636.911479821203,8880.354373984337,9843.48124005556,9945.27513092041,9698.339509205818,9893.953187928199,9614.86562719059
38,9451.325948321817,9721.016710979937,9404.242440671918,9416.906311235425,9543.616468119622,8871.058090744022,9782.679718158246,9904.412429432869,9592.962339620592,9804.474282031058,9549.269473931552
39,9654.433935859202,9915.728519992828,9617.925522365567,9585.771835308073,9772.333427491187,9053.81176923752,10010.644590141772,10118.783534841537,9749.853497316837,10037.249635343549,9751.653626789808
40,9656.257063663004,9937.277817430495,9634.188435254095,9600.462335205077,9827.57903895855,9050.254226293566,10028.269261679648,10106.497665209768,9774.821941740513,10048.840814671516,9766.444860010623
41,9679.120628154276,10027.457062516212,9652.668206057546,9680.474434251784,9855.307339491845,9091.22487491131,10008.315370242595,10187.123565092086,9792.362937400343,10057.211284065246,9803.126570218325
42,9677.371158492564,10077.694532997608,9670.126923933027,9674.074800229073,9891.071059069633,9134.706841378214,10009.865247230528,10249.014377694131,9827.069364252091,10077.543789815902,9828.853809509277
43,9717.734004285334,10203.642333257198,9690.33765425205,9753.472485423086,9993.384851431847,9223.700480599404,10030.901362099647,10298.011648540498,9885.573021650314,10067.794801583288,9886.455264312268
44,9687.317866637704,10069.080572702884,9683.140991535185,9722.728596620558,9899.00751628399,9189.496898307802,10012.128544852734,10155.627888908386,9796.179958872797,10037.520450553891,9825.222928527593
45,9763.38479011297,10195.244918596745,9681.476451992985,9729.690000534058,10007.441158471109,9222.232986125948,10079.5853129673,10157.91793604851,9905.864565341473,10096.98793571472,9883.982605590583
46,9746.227825419901,10186.900776355265,9691.970656957623,9715.543400797844,10029.199652295112,9193.947028760911,10067.209297287463,10147.54688753605,9918.612074465753,10095.699048964972,9879.285664884092
47,9899.388027923107,10294.755823793408,9830.802568593022,9845.589414467813,10160.958555207253,9308.904437322617,10163.975436396599,10336.403504509928,10041.423417599202,10245.458088915346,10012.76592747283
48,9927.15140538931,10290.044160742758,9858.781063275334,9862.732601075173,10178.884930710796,9383.144216547013,10162.23015831232,10326.632666387559,10020.649704983236,10246.586292703152,10025.683720012667
49,9954.744208877088,10276.038994126318,9874.125949783322,9880.018394808767,10203.769204468725,9370.594248704912,10169.564698853492,10323.286636300089,10003.830231957436,10276.192736570834,10033.2165304451
50,10030.298214042185,10373.057109613417,9921.407647862432,9926.760599350928,10277.784376311301,9436.192328596117,10179.78274814367,10395.40081006527,10044.525467593672,10336.223085296153,10092.143238687515
51,10135.317410190104,10513.144014232155,9983.410883765218,10004.103901195524,10395.590421280858,9576.056352982523,10177.390710840225,10506.747981181144,10150.852220735553,10397.120093948837,10183.973399035214
52,10170.894343364238,10553.729716420172,10071.713676924703,10059.649760169983,10459.890208497047,9695.742706732752,10254.179290027618,10589.090080099106,10233.283598132133,10445.13603925943,10253.330941962718
53,10171.398593375683,10519.676204204558,10120.899316754338,10067.815512742995,10470.049705748557,9756.961513152124,10246.44146261692,10567.389443902972,10227.530050487521,10461.987902429104,10261.014970541477
54,10142.385381591319,10459.311658322811,10100.085347080229,10020.11100276947,10468.147441773415,9708.610112266544,10246.594409482479,10528.756193695068,10199.924167389872,10482.812935402391,10235.673864977358
55,10052.988850133419,10351.357390532492,10029.259733510014,9944.563576078413,10383.636747231483,9608.222449412347,10267.452901144028,10449.983868575096,10104.378517935278,10445.360971763133,10163.72050063157
56,10076.752960698605,10422.587224037648,10022.746573224065,9989.359719800947,10416.94189786434,9592.724937596324,10256.98777233839,10491.670900206565,10124.445147333146,10439.782492115493,10183.399962521553
57,10086.430030648708,10440.024751172064,10018.435570740698,10024.446408405305,10408.609328970906,9563.115007824897,10242.24932156086,10543.772923703193,10128.143422288897,10432.151280543803,10188.737804585933
58,10126.476248471738,10487.968914163113,10064.239888167378,10084.303554124832,10484.870169615744,9580.756245894434,10306.520074510574,10553.984065566063,10154.2510161376,10510.017877385617,10235.33880540371
59,10171.639148128032,10534.908487706183,10089.35534622669,10132.918770446779,10478.96346320629,9525.257067198754,10345.220338482855,10660.844546351433,10207.567149658204,10565.507193415162,10271.21815108204
60,10155.640077197553,10527.426619226932,10121.82524865627,10185.70521990776,10456.69722989559,9498.726643075945,10322.486713151931,10648.394488744734,10175.217781264784,10531.36370810747,10262.348372922896
61,10189.530348842143,10563.464268753529,10170.968362021446,10271.74968276024,10474.089162888527,9506.544581975939,10403.306070122719,10733.720722532273,10180.303813009263,10600.019060938357,10309.369607384444
62,10135.925451314448,10499.771486556529,10100.853915910717,10229.388186502456,10463.2458633852,9458.805472240449,10343.318743264676,10651.161550097466,10145.178365635875,10553.961433188913,10258.161046809673
63,10068.56750338316,10361.01649637699,10027.897155842778,10122.643783454896,10372.135018334387,9414.176288003924,10298.887810065746,10577.331779041291,10110.32042256117,10461.9003888154,10181.487664587974
64,10160.407818496227,10452.004384281634,10053.459171457289,10160.296243457797,10488.307630724908,9473.711054573061,10365.590133795738,10618.20930205345,10276.902953684332,10561.093525364395,10260.998221788883
65,10084.467573239803,10333.310517890452,9964.158035635946,10010.784709005355,10389.217495808602,9370.592082681658,10302.098644793032,10511.181844749452,10247.165288517477,10474.340527632236,10168.7316719954
66,10104.806677138806,10406.78122956276,9979.42852422714,10029.996282100677,10445.63625706196,9420.109733262063,10308.92118275404,10512.56671628952,10283.018026697637,10457.260508630274,10194.85251377249
67,10067.640546844004,10384.186171045303,9956.827898192403,10014.249783601761,10423.19688047886,9419.632289733889,10301.559525299072,10527.850233163834,10233.966185245516,10437.700055592057,10176.680956919668
68,10180.110868127345,10525.572289352414,10041.778906216618,10107.159900245666,10538.822284016609,9525.848569793703,10368.883466837406,10650.930965237618,10368.464894134999,10520.758230350017,10282.83303743124
69,10254.847482488156,10653.529397971626,10167.604662494658,10201.988853168486,10617.758196177481,9686.887397761346,10469.140516157151,10818.424400658607,10488.124601209163,10611.359601385593,10396.966510947226
70,10254.17725852728,10668.901593399047,10185.450233349797,10199.991088361738,10635.57807246685,9673.855689558983,10488.692514903545,10832.26903242588,10508.114048368932,10605.179008700845,10405.22085400629
