,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,9990.0,10004.099999999999,10011.45,9984.199999999999,9976.8,9993.899930353164,9986.75,9994.55,9977.499783287049,10007.350000000004,9992.65997136402
2,9850.0,9850.929999999998,9933.550000000003,9801.050000000001,9824.13,9838.37000623703,9867.849999999999,9841.849999999999,9851.739783287047,9862.080000000004,9852.15497895241
3,9617.1,9616.269999999999,9748.750000000005,9534.658536920548,9592.019396910668,9632.44005405426,9561.410000000002,9573.049998855591,9647.699783287047,9615.040000000005,9613.843777002814
4,9516.970000000001,9513.649999999998,9610.010000000002,9441.678096833228,9496.908795428275,9565.590145530701,9443.91,9487.319997653962,9571.049783287048,9507.810000000003,9515.489681873321
5,9573.26,9550.22,9643.300000000001,9474.18809683323,9525.928795428275,9617.380127859115,9437.67,9553.30999765396,9645.869783287046,9519.28,9554.040680106162
6,9624.09,9601.98,9697.360000000004,9509.37809683323,9571.188795428276,9672.380074844361,9484.45,9613.87999765396,9693.369783287046,9575.56,9604.363674804688
7,9425.34,9382.63,9454.210000000005,9274.738096833229,9319.658795428277,9428.830189189912,9264.63,9363.16999765396,9469.889783287046,9397.970000000001,9378.106686239242
8,9558.449999999999,9554.3,9581.110000000002,9438.318096833229,9486.588795428277,9569.490070686341,9437.240000000002,9506.97999765396,9548.339783287047,9539.86,9522.067674388887
9,9318.859999999999,9311.669999999996,9409.43,9175.808096833229,9191.578795428275,9301.95013929367,9161.46934387207,9257.66999765396,9342.299783287048,9324.390000000003,9279.512615636824
10,9287.14,9335.359999999999,9411.810000000003,9196.478096833227,9208.698795428278,9366.660118503569,9123.269668908119,9290.579997653958,9340.219783287048,9315.750000000004,9287.59664606142
11,9102.039999999999,9125.179999999998,9193.380000000003,9016.928096833228,9031.708795428276,9252.400200624465,8883.301628208159,9150.96999765396,9103.969783287046,9116.770000000002,9097.664850203513
12,9155.99,9171.189999999997,9282.330000000002,9000.308096833227,9068.258795428275,9270.93016216278,8909.10385177612,9170.359997653959,9209.329783287048,9191.080000000002,9142.888068714139
