,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,9990.616175301078,9997.361428530217,9996.927941351683,10001.037560910994,9997.226696355341,10000.116032435446,10000.464247765132,9995.317019922213,9997.347574793546,10000.0981030941,9997.651278045974
2,9947.394366721437,9963.868022650187,9969.237093208729,9966.893924491318,9976.023770278916,9988.672803284531,9972.410363966932,9974.31791825555,9975.872031912877,9967.204522720796,9970.189481749128
3,9900.607984391696,9904.241837157013,9909.785340740233,9911.579024228253,9947.38702714168,9961.856877739581,9937.710605096447,9948.60790161736,9922.568539353384,9920.350449996735,9926.469558746237
4,9874.567469462214,9876.745544262045,9883.602876880388,9874.05406501032,9925.263208715956,9944.97483072147,9917.703894398608,9920.785316931302,9904.162078225048,9886.726129192559,9900.858541379992
5,9878.983262952008,9884.148744445722,9892.276506460119,9894.049234391072,9929.569725252808,9959.615558934309,9926.895435926956,9919.023549012089,9930.7117925541,9896.625921466424,9911.189973139559
6,9907.860300736686,9909.82089859165,9913.957431122284,9922.357374970423,9948.065761648162,9975.000562276527,9946.69422626289,9940.713923431405,9955.564971820964,9924.694547951629,9934.472999881262
7,9814.51929274719,9820.830214930378,9779.683253361503,9808.542977969586,9876.301007125125,9918.800500169067,9873.06502735196,9869.630514575312,9854.001467443599,9873.099408432578,9848.847366410631
8,9896.817237476782,9881.306672717386,9859.583831010012,9862.588641586502,9930.694265678605,9951.679140292552,9930.218136660833,9923.760524354573,9926.036585233673,9907.328057713134,9907.001309272404
9,9780.23874152977,9792.208956982482,9729.090004393456,9761.875270915167,9831.440763563778,9882.311583569857,9850.665616642018,9847.769810939575,9809.93038163421,9845.859495979768,9813.139062615006
10,9793.397969993672,9784.037616545156,9749.00635329481,9789.146379472852,9850.84836483952,9884.900381856756,9849.087150549578,9847.36851263411,9805.685111807641,9868.799513231103,9822.22773542252
11,9699.417783708948,9736.536248013266,9642.9166881036,9687.776341194973,9814.287562632768,9836.63277365146,9782.264935047799,9780.117329207023,9742.871854849025,9817.476606475671,9754.029812288452
12,9725.149316234854,9748.539169723012,9673.605319126804,9756.693814030175,9828.102514013519,9851.813722798403,9805.399686591925,9811.627044829129,9764.329695754961,9843.831529520845,9780.909181262363
13,9791.202065161193,9843.97377516719,9755.187916620187,9838.662257170556,9857.233936238717,9880.131085104382,9887.502915236671,9870.774533160718,9853.6808828163,9836.765079024544,9841.511444570046
14,9718.314197319563,9769.144153530106,9643.916667911893,9790.566772380218,9818.386255421696,9843.022024598034,9834.40013855325,9799.292019216286,9772.968011727895,9801.012682200959,9779.10229228599
15,9826.416658025259,9847.088921259074,9824.224465470128,9882.694104276166,9878.243738583738,9899.559881653067,9959.552263971942,9920.968412046339,9892.957685453817,9919.231925757847,9885.093805649738
16,9753.574215769866,9747.9540600177,9740.753589303938,9828.015885603016,9804.782993456518,9840.579064297723,9879.084317931065,9796.328395559482,9845.596139151792,9865.079987345849,9810.174864843695
17,9795.696761632484,9794.134169128316,9835.203612421523,9880.499238305123,9835.823709878718,9875.657223997488,9916.994727731944,9849.202542566574,9885.916381165744,9902.038086001707,9857.116645282962
18,9934.079149824815,9939.894377818007,10014.48183235034,10021.633484248592,9953.243124660556,9971.261721161864,10031.638568554281,9958.825007892083,10031.66500496254,10032.773904606183,9988.949617607926
19,9923.341718875363,9924.66267836977,10007.018193473925,10052.489559105828,9963.496087585952,9972.941412750442,10036.272717096399,9938.979709234816,9995.288509014274,10033.440360256289,9984.793094576307
20,9800.67134332857,9787.42266548374,9774.335461540368,9974.53266522858,9854.657368939781,9882.854500361755,9939.154900341407,9795.993264743083,9871.923256324724,9900.596470592263,9858.214189688426
21,9873.734908244842,9849.380682248204,9888.362693391196,10004.0779762826,9896.616415467784,9926.44709480088,9978.416397220139,9891.042164142349,9960.974789949569,9947.748048115829,9921.68011698634
22,9906.895476949221,9889.378668798761,9957.080673634966,9990.650984933445,9939.045642469691,9967.427913449555,10010.547021154689,9935.568900485756,9988.561800995998,9988.24403486283,9957.340111773492
23,9817.30228187834,9794.038050893436,9825.878349142753,9864.688130932353,9814.80588283995,9884.117704524095,9937.680353917389,9846.266158719165,9877.982406101026,9906.633016389715,9856.939233533823
24,9764.469692860344,9744.646418614753,9704.914261477543,9779.907532950405,9769.955383094733,9811.962841886987,9892.165175639695,9812.484645555185,9864.038233767831,9816.356167303267,9796.090035315076
25,9771.083345573254,9744.094881369352,9703.698192858059,9806.211776744634,9752.73770852327,9811.101814488391,9894.193974516107,9778.807278481421,9866.701521240626,9796.871846481827,9792.550234027693
26,9757.767905866565,9702.221433918545,9641.151212468461,9787.554473227856,9717.508676642603,9760.387720101844,9861.121802340389,9735.908847657869,9832.721143912919,9737.00027522477,9753.334349136181
27,9694.856690466953,9593.934617367437,9465.97875325089,9649.016680176112,9625.264520026256,9665.816642015798,9781.793373131253,9632.384653267076,9744.395777362812,9629.220793058123,9648.266250012271
28,9811.702601234223,9742.842655243363,9625.811741862733,9836.67911425819,9771.717615277019,9814.793256711439,9894.67844560171,9706.304377201888,9854.050710094676,9780.61706008345,9783.919757756867
29,9893.565507507312,9871.1243312029,9749.509739287632,9973.224979821392,9853.741795213537,9949.555160648151,9946.654498607395,9813.333570421262,9956.918126028602,9908.7696437445,9891.639735248269
30,10014.524234639193,10008.320469509621,9905.535221005974,10106.752405397056,9970.91708035655,10113.866859715692,10040.233590553094,9939.95907476719,10057.223989716224,10057.099032296752,10021.443195795735
31,9993.118649794384,10038.61613086541,9855.922565304767,10066.266483324713,9955.677321562187,10157.44341414243,10028.520100182868,9931.546844516775,10019.494212530828,10032.722242727546,10007.932796495192
32,9998.864878422655,10034.289498509206,9848.10115186842,10076.08089144347,9944.547827316648,10156.66436373422,10028.42576965216,9907.72875970845,10005.576447354031,10005.861866934467,10000.614145494374
33,10102.360306133292,10165.14456384571,9983.13397325778,10197.91928180519,10068.436784879057,10287.903066642233,10142.643061843222,10010.033338374635,10126.805551307587,10142.283426872169,10122.666335496087
34,10041.726620878764,10074.742228385965,9913.470809759401,10116.807652186859,9967.785906557765,10202.054097786331,10054.454861537763,9925.351174956653,10024.208736818578,10042.143866726938,10036.2745955595
35,10070.151003392564,10112.280029571988,9932.392701125746,10169.380607784607,10009.99070714852,10232.554142263049,10103.625228031004,9932.711747941989,10071.55990880226,10078.394882514101,10071.304095857582
36,10163.012088718693,10253.966127065405,10027.560953981112,10279.333750971675,10113.972401690724,10362.307567854032,10227.748323938853,10023.044341311035,10182.213371534695,10192.809744947086,10182.59686720133
37,10140.013175617969,10191.921547660682,10003.912331848842,10232.199764814597,10055.20885981247,10309.509489579981,10177.663533736435,10023.61104782229,10136.031502763977,10149.154599488194,10141.922585314542
38,10077.788621576554,10125.992534172536,9947.823845747513,10153.809636095379,10010.805871356213,10222.78678609048,10107.176841456318,9972.67967234235,10070.899403537944,10097.578735119389,10078.734194749468
39,10227.50651917677,10320.473464517136,10134.70624781136,10322.194126405106,10181.28457126742,10381.756070866195,10268.757483946072,10139.304724141954,10247.901337659408,10290.202062280636,10251.408660807205
40,10247.93772357546,10350.974474738052,10150.930088992012,10344.990974769056,10202.531590974886,10411.911275481201,10270.21223441037,10145.894372033566,10263.758468581618,10292.777982009822,10268.191918556606
41,10254.728385122731,10398.918476473054,10197.470279125086,10366.839339075505,10214.215110589452,10438.7859622729,10293.053752191023,10169.400376299398,10258.317448348036,10316.17380940466,10290.790293890186
42,10273.815387939434,10429.153703942615,10243.142794330546,10386.319995137457,10250.343926893276,10447.920258458335,10313.44156422079,10203.414100986274,10294.04606072487,10360.873380622104,10320.24711732557
43,10304.684321919247,10488.415979360827,10286.743299526093,10413.348654784755,10287.06264101424,10501.227169423839,10346.307661539273,10231.891294508943,10310.065577058562,10413.752852924552,10358.349945206031
44,10263.32371362911,10430.772928226137,10231.14715179307,10407.148958655453,10255.31576910201,10468.666203104056,10293.828819273156,10168.707259681518,10267.462417210987,10362.250080797774,10314.862330147327
45,10297.572761440684,10479.462100550354,10254.402512924145,10444.811440887936,10300.555609013229,10496.018233823545,10331.712291870002,10194.61388524383,10308.203912505822,10368.558477639897,10347.591122589944
46,10284.265340894011,10458.715904383762,10250.071964507953,10435.036911106765,10308.469163011849,10489.31770633523,10323.587513355698,10212.689908077802,10308.58039178749,10372.403466059655,10344.313826952022
47,10384.85710869675,10589.937689983099,10377.529921114041,10560.613272426132,10425.905535067935,10629.00862751678,10442.03385528533,10332.740589785855,10418.045269416314,10491.817833411316,10465.248970270355
48,10392.877728449977,10605.399391616236,10391.61920729566,10595.262245687149,10443.554490139355,10642.159809159475,10452.458896260068,10344.538347073725,10435.412705839568,10530.96178514917,10483.424460667038
49,10420.836398193738,10619.828215123554,10393.952243455033,10643.51013425771,10453.781622584527,10653.016292311566,10445.808544271928,10355.146917541773,10456.4474088378,10548.718747937499,10499.104652451513
50,10479.207167497938,10700.672722141684,10441.848524768286,10695.075659651568,10495.241592593078,10712.642045081306,10480.261317129922,10396.862899530444,10495.418568938394,10600.196358699015,10549.742685603163
51,10591.77229217721,10803.722791553957,10560.717564592667,10742.317808066402,10554.045329870145,10808.277117498565,10560.407985375647,10482.382772864308,10549.022791924956,10684.719811986288,10633.738626591014
52,10652.045460142866,10825.530502321924,10664.066648841024,10765.475753995324,10625.79377677963,10852.962250109995,10637.108506203633,10591.79223140135,10609.835426433194,10753.031467317323,10697.764202354629
53,10688.117930100812,10848.693466426741,10684.145583629175,10764.998323236941,10618.221240995552,10862.43940775092,10642.468496626107,10590.677196448609,10626.550470947857,10795.513963571111,10712.182607973384
54,10673.27269282906,10827.103398112391,10632.523287605249,10742.150820192168,10584.449262948496,10855.227869931972,10619.444328359907,10574.915699278885,10619.023610260647,10794.236041088514,10692.234701060728
55,10590.293031993664,10737.814750224228,10549.679470958203,10699.754412957198,10562.337005737269,10822.873142706016,10562.276211542305,10525.70715324257,10588.839050477407,10739.80501327954,10637.937924311842
56,10596.839195485241,10768.364138031231,10569.938235280923,10715.748834972312,10570.764298159002,10833.130489134017,10588.38575231372,10519.349114739936,10580.44859297749,10720.515981698347,10646.34846327922
57,10610.592936746838,10791.85709071282,10578.178410401688,10727.224703402419,10574.443765149901,10839.553076837185,10597.685524967615,10520.640184106142,10583.242249392051,10730.241749870214,10655.365969158687
58,10631.733072369645,10851.896448745418,10624.96701785176,10805.453595364488,10648.454834612307,10922.994550274245,10658.904992481828,10592.599766968375,10652.129494066638,10757.587591306938,10714.672136404162
59,10684.406950695522,10919.772105666025,10631.521692821996,10886.738242030528,10688.524896667624,10950.65519256427,10708.226096012733,10619.296353600148,10729.126502796029,10786.2432166521,10760.451124950698
60,10670.055104886895,10940.273909604388,10631.729725658415,10887.833936829235,10693.726360786151,10945.151420573155,10718.501904162154,10595.75751420424,10701.442199569008,10742.10216507831,10752.657424135195
61,10741.662872818128,10984.918886188834,10693.750707189076,10970.727952090794,10754.526522006143,11017.605292825427,10799.548506956262,10645.680872510946,10760.456060830693,10801.751145531356,10817.062881894764
62,10682.319529596427,10956.935817313799,10656.682791610834,10966.770151574501,10722.017750019362,11001.993817590763,10775.574554513929,10614.75985898787,10742.836947812257,10759.040594795299,10787.893181381503
63,10589.585258669824,10858.512347301767,10584.545381499172,10871.455925395265,10635.98414832243,10934.078024957555,10685.695544524966,10533.604197105442,10691.855533252903,10717.040403589312,10710.235676461863
64,10668.265275306474,10919.558584425868,10665.541907828081,10917.285970751642,10685.731701881215,11014.96508048974,10749.57464130615,10617.487132665427,10782.239637262812,10790.377967024142,10781.102789894154
65,10597.218653466118,10826.96377892687,10544.690420599512,10762.710816351197,10587.478548237445,10915.987631474798,10644.919698660413,10485.674594001988,10715.720719557314,10729.447816114636,10681.08126773903
66,10605.034466807354,10850.185242423047,10591.098959670371,10778.1363144989,10614.780142301943,10927.026116817462,10663.932020486773,10502.998662825497,10732.444485207692,10725.96787049202,10699.160428153107
67,10572.89487931886,10837.835619037867,10567.922260464158,10755.585695480699,10609.117755718804,10916.405226471767,10649.692313017904,10488.121230895715,10709.352050436806,10703.647031716278,10681.057406255884
68,10666.721339260761,10932.40514556608,10688.461126397073,10865.723055821452,10710.881103016118,11001.656032727054,10745.33622705128,10592.598670465899,10807.9654247243,10798.250227162282,10780.99983521923
69,10768.46892657599,11048.318509450983,10770.520286362123,10936.00100565392,10822.719923861843,11104.294821433807,10855.404930843513,10712.848411041658,10882.33034566023,10908.652579614398,10880.955974049848
70,10770.836411114473,11038.681989673067,10796.99671478938,10948.984726328565,10831.811102590575,11128.746149218045,10859.57845161144,10727.144677645469,10889.001646596864,10907.269925359547,10889.905179492742
71,10757.811610662331,11028.69015159156,10786.17805393959,10923.293281802504,10821.626879460675,11101.012993096168,10843.82339905988,10680.2275556577,10867.914294879425,10901.772030536058,10871.235025068589
72,10831.848800339869,11115.197655170356,10875.243621017891,10992.287996483874,10900.954616695628,11168.818702268145,10909.700721524596,10718.888421934767,10911.63149090042,10962.935384411272,10938.750741074682
73,10876.873081456859,11036.580429941674,10885.820275568958,11059.845878963328,10922.763605678223,11194.176623180545,10924.889964666163,10807.788744235828,10954.772828005496,11031.2020720939,10969.471350379099
74,10837.437902128217,11064.872613083982,10894.54484983525,11068.198314793859,10962.026686842484,11243.133174622943,10984.303009930722,10851.765366827498,10954.013358288765,11010.591874078014,10987.088715043174
75,10794.386718326608,11053.708983242439,10871.13806163981,10959.346046424982,10916.957409980434,11200.450566135867,10962.298156079738,10810.786199830034,10904.511324729428,10966.52813236332,10944.011159875266
76,10820.595884156159,11006.17658639482,10891.842833793962,11004.975521661272,10918.42385560239,11209.990723994802,10981.134480703224,10821.831135930435,10914.314799140397,10964.779629060446,10953.406545043792
77,10812.226198753557,11024.35232857228,10864.411228556284,11012.411995938888,10933.40485357465,11184.972451752637,10966.946322252557,10783.452897530817,10899.597893077678,10965.500266397928,10944.727643640726
78,10804.868924448892,11005.815878382948,10893.283329145326,11026.249163618353,10951.558091995827,11213.267835304294,10964.620789822427,10811.592897044115,10916.463019223831,10988.89361335124,10957.661354233725
79,10862.854980884871,10993.992708121554,10926.872104703541,11024.287183154765,10969.142143259278,11221.27748199329,10965.24471376316,10814.783901905055,10959.90476939631,11046.377288993806,10978.473727617564
80,10733.527049658505,10834.258224028643,10765.83208659766,10870.057630939888,10856.471023763697,11081.735894981015,10840.428482399559,10684.343212922176,10838.153995073824,10951.578485631304,10845.638608599626
81,10717.12568618086,10760.83481781544,10762.101095411952,10810.891571642935,10785.384830215176,11050.282817824986,10787.046920771774,10634.858455162963,10801.088828227279,10915.310012614387,10802.492503586775
82,10806.889306732048,10814.633783996944,10833.707825926256,10906.493114322177,10843.898668410588,11120.722918521678,10845.365038859958,10701.004434472112,10860.500655414893,10963.100232890049,10869.631597954669
