,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,9997.289003362657,9997.29972214699,9999.299996738435,9981.799882650375,9984.79983587265,9967.800510978701,9983.72333289146,9980.250055036548,9990.492855319979,9999.129790334704,9988.188498533249
2,9888.262272815706,9843.471055412294,9853.300035066606,9814.54035779953,9835.70068051338,9799.261703577042,9824.983446264265,9852.390568017961,9835.903852510452,9868.360678586962,9841.617465056419
3,9673.364687137606,9609.692636966707,9649.040136985781,9604.331394119263,9602.623065490721,9574.064241971972,9643.223602685928,9648.100622138978,9582.317207794189,9643.144294862748,9622.990189015389
4,9567.40301882744,9531.96285496712,9551.840190267565,9529.201640720366,9509.70439361572,9489.086893053056,9544.643666372296,9578.440921649933,9503.532516641617,9551.891928834915,9535.770802495002
5,9591.7687712574,9544.662866191866,9598.080191755298,9559.251626844405,9543.764773397445,9506.204837093353,9569.813599243162,9641.260872526169,9563.449139328004,9578.203740968704,9569.64604186058
6,9669.425720920563,9630.602684917452,9665.150183897022,9604.89134027481,9611.18292452812,9581.44449163437,9629.753440990444,9691.400835685732,9648.043459625245,9654.108992767335,9638.600407524109
7,9463.069143714905,9410.273655109408,9490.87024790764,9387.871998739243,9374.705053358079,9366.567662611009,9403.643793878553,9460.48147123337,9430.046363945006,9428.815870323182,9421.634526082038
8,9594.828262434008,9573.442550125123,9638.960210552219,9551.721511821746,9507.253975076674,9545.03739066124,9551.343692073817,9574.310785503387,9558.724906187059,9541.733543167116,9563.735682760238
9,9371.557239961623,9352.553677330017,9418.170259466173,9275.40240131378,9291.285030059813,9281.491784029009,9310.214238853454,9364.11120141983,9370.333066787718,9284.337222089765,9331.945612131118
10,9359.57890914917,9408.67380989075,9458.850259761812,9259.00247059822,9339.572736482618,9287.110817451477,9330.644227666851,9358.811206264494,9380.342990884781,9318.906674528122,9350.14941026783
11,9172.004590559009,9284.064458131792,9341.150318670276,9069.552785081862,9209.49125403404,9140.694814710618,9188.104406814571,9184.511384468078,9232.268739967347,9234.015163412096,9205.585791584968
12,9260.950261058808,9316.574103288653,9409.210325632097,9120.2627455616,9246.792104873657,9170.044810523987,9249.244247770306,9262.741473979951,9320.158206710814,9314.429221611023,9267.040750101089
13,9422.636863269807,9488.883303670886,9581.360254249574,9295.822162146567,9389.706533203122,9428.012810649872,9382.443939390181,9402.351178627014,9444.511299643518,9493.632607712743,9432.93609525633
14,9307.948475170137,9350.234186849595,9452.950307245259,9143.862351970673,9250.42218477249,9232.573671045306,9221.664148263928,9298.351542387009,9340.931583185195,9382.566345701218,9298.150479659082
15,9465.451225051882,9575.040966358187,9644.680249052051,9341.361868362425,9430.14176050186,9392.591348266604,9377.304005537031,9443.721326475144,9473.635261745452,9534.357516565322,9467.828552791596
16,9280.501921510697,9533.680627307893,9530.07025961876,9220.373192119598,9288.572885398862,9247.102580928802,9302.714204015729,9315.151529722212,9346.134801149368,9357.966861286164,9342.226886305809
17,9337.29431863308,9604.089832239153,9609.08024591446,9318.077842621802,9371.133518013952,9339.368934936523,9381.289230141638,9349.781807489395,9433.11690964222,9437.424301919937,9418.065694155217
18,9558.103322296143,9824.858181324005,9828.46015686989,9529.041855907439,9605.18089128494,9568.881034326554,9606.403946781156,9591.691360816956,9660.475128908156,9679.938764963148,9645.30346434784
19,9550.435713157654,9777.009196224213,9789.850182476046,9481.131821546554,9597.340376968383,9508.272339134217,9601.344005260466,9568.471546163559,9651.881356391907,9688.386345014573,9621.412288233758
20,9423.883745632173,9564.809602041247,9632.180255460742,9278.042646074295,9403.941763525008,9276.165091314317,9370.454273185727,9455.951799650193,9474.618057117463,9530.185461187364,9441.023269518852
21,9563.219754896163,9644.93752744675,9712.70023505211,9425.172449531556,9480.11256005287,9413.643946094515,9443.944070091246,9547.102201538086,9526.384687986372,9617.290287675858,9537.450772036553
22,9604.086146850588,9693.127110166552,9724.36019929886,9510.742327384947,9531.65157736778,9505.182091207505,9505.73401827812,9575.542583456041,9530.203742132186,9667.700610227586,9584.833040637019
23,9494.796460018159,9548.207103977205,9571.06022808075,9450.512901086808,9395.723359355925,9402.244829225541,9419.944198713301,9450.502774686815,9335.008014287945,9504.303354530335,9457.230322396277
24,9396.706144752503,9481.986925144198,9527.070271787645,9349.17338880539,9261.144527444838,9332.174672574998,9269.964424057005,9359.59332016945,9261.727961139677,9417.236110076905,9365.67777459526
25,9383.86752366066,9478.596556835177,9564.310284852983,9311.693472461699,9277.093727140425,9299.925847759248,9246.204409027097,9369.512786712648,9255.257047195435,9433.882276172639,9362.0343931818
26,9283.446181983947,9421.637580556871,9542.940310850146,9190.373601007463,9237.562641458511,9227.526443510056,9197.5147236824,9264.592454290389,9216.472778749465,9364.157198286057,9294.622391437531
27,9191.259100770953,9291.878385105134,9428.190405263902,9029.974357566833,9066.104116859435,9101.917362527847,9053.634659862517,9172.302779960632,9094.699550800324,9242.605864801406,9167.256658351896
28,9334.225400981903,9487.586905155184,9608.070237789156,9224.784125270842,9245.813261356352,9310.93553694725,9235.564511718747,9369.462397346495,9296.736175842285,9364.472919721606,9347.765147212982
29,9496.98870393753,9611.666199531557,9718.260201330186,9332.303596010206,9393.470952110289,9425.69246322632,9358.144304065701,9509.202126617434,9428.764241981507,9526.942010030747,9480.143479884147
30,9669.856446771622,9743.305705080034,9821.540182256702,9507.562899036408,9523.198789005279,9598.439842157364,9517.634014167783,9652.082071294786,9585.367985954286,9689.899356765749,9630.888729249
31,9706.232708911897,9676.665641174317,9765.350219345093,9487.042843532561,9454.659395542141,9493.729980325701,9485.22405581474,9643.402290344238,9574.222300834655,9630.350470027925,9591.68799058533
32,9705.049231319428,9656.55578983307,9763.840218639376,9459.11316608429,9441.179245319365,9481.699478082657,9484.86406606674,9655.702232780457,9593.524699668886,9608.73430469513,9585.02624324894
33,9816.7461300087,9792.475225944521,9889.24018890381,9584.062737340926,9562.246760482787,9619.989123239518,9630.36388041496,9755.741732511524,9716.386581792833,9779.822543706894,9714.707490434648
34,9740.075602941512,9645.755920944215,9774.54028348923,9445.263163347243,9461.476861524581,9447.791278619767,9523.344004297252,9658.111844949723,9601.558499279023,9699.875413331985,9599.779287272453
35,9771.510895175934,9669.525451822281,9837.470281181339,9478.863238372802,9491.127506198882,9491.720435009003,9561.033977966308,9704.751735887528,9643.958046932219,9749.441671648028,9639.940324019433
36,9876.007126541137,9768.004657659532,9990.450245094302,9583.452927427292,9608.136793251035,9600.129247369769,9687.123895874023,9808.011295700075,9751.646099348067,9888.058272581104,9756.102056084634
37,9828.221264305117,9741.304975118637,9956.370226459505,9543.203009338378,9599.136721868512,9580.070047321322,9659.603932628628,9749.981561307908,9693.254684515001,9853.746312856674,9720.48927357197
38,9752.970906705857,9670.995601062776,9859.160276050568,9487.123119478225,9531.30825201988,9502.411020631791,9587.863947334286,9680.00200902939,9600.15521707535,9799.032458810807,9647.102280819894
