,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,9996.67150425524,10000.08064424932,10002.350073825606,9991.15988479912,10002.791758744717,9998.901335385592,9997.634740152507,9996.261007239818,9994.751541818328,9991.794301164151,9997.23967916344
2,9963.023589989958,9975.737152557373,9981.975714067892,9952.227163369505,9985.87118884638,9967.706377305987,9978.056842759699,9961.081803732959,9965.26815987008,9978.43125492662,9970.937924742644
3,9874.891429398253,9925.99022616036,9952.1108339762,9891.59956073321,9908.242141261548,9909.37096707374,9948.097929261328,9928.796296979635,9897.563998302354,9960.439336623995,9919.710271977065
4,9831.497930788682,9900.82969006486,9923.516198329795,9858.34305957894,9882.417957635671,9879.921588092115,9926.030874650221,9896.858359890204,9857.715419793989,9944.448773957714,9890.15798527822
5,9837.103366459503,9906.90138016529,9930.960520060975,9880.237377900681,9900.204210475309,9897.066583098696,9932.963906210663,9901.35430897593,9860.993127937003,9948.468706934415,9899.625348821846
6,9878.171842488282,9923.248202718718,9961.856660732843,9905.213548247808,9938.98709863111,9926.317304326298,9974.585342138711,9925.563559435097,9898.833754714766,9963.75742070157,9929.65347341352
7,9750.707240767915,9874.34903909102,9866.1923858774,9836.48408362658,9806.5689168673,9829.541992266739,9890.711925268435,9834.799487687214,9786.919342639245,9905.207779880573,9838.14821939724
8,9858.064688458338,9926.794145167321,9913.44443956978,9888.956394088316,9882.278171509653,9881.775370655472,9956.582228036448,9897.708775276984,9836.211771240174,9952.788307952245,9899.460429195473
9,9701.866018151948,9849.946519444213,9828.253629241728,9809.315849964889,9735.032177944408,9769.936102530419,9865.511376534365,9796.367217861836,9733.897969665726,9866.853174150321,9795.698003548985
10,9712.729033609638,9858.698684116975,9847.194406677292,9824.205449855172,9745.242927572579,9758.07846004385,9873.079657080583,9817.713632821195,9734.7858447955,9871.12640669908,9804.285450327185
11,9590.396734887727,9807.265382416994,9778.142998958037,9765.897890987408,9630.958846076763,9681.326371032803,9823.115420387683,9741.824249418858,9611.67559211827,9805.613173481084,9723.621665976563
12,9639.562964157434,9837.18761624724,9801.45552514977,9787.146010395172,9664.107941198981,9712.66181139107,9846.45062027227,9764.778933025022,9684.893819753399,9839.049035416876,9757.729427700722
13,9783.82455184145,9915.466940676535,9862.832435541777,9825.1299363861,9757.754266513846,9750.752092945662,9945.485933090484,9857.711080302706,9772.407908677918,9976.25496718974,9844.762011316623
14,9643.222011057816,9838.459387293648,9783.684669112072,9757.841864640652,9671.99403234191,9663.37651523919,9871.932932608535,9777.34361448923,9707.229130246296,9871.890979454136,9758.697513648349
15,9811.168562182867,9941.766596028545,9878.744690974365,9852.429526988992,9794.63332579292,9753.395251682588,9987.24148558065,9885.880650663225,9802.539554492601,9977.380960006267,9868.5180604393
16,9683.30719579339,9872.199705450017,9752.95707372743,9760.213207292982,9636.35996020386,9684.1939823056,9875.889895244087,9764.136716189847,9657.311092369577,9864.323399097764,9755.089222767456
17,9805.56666293609,9925.072655023188,9782.068710281137,9807.063889956366,9687.355876574069,9744.885302879326,9930.578329310618,9786.279588723739,9719.651701734863,9890.49280592156,9807.901552334097
18,10028.733539510376,10081.09921319746,9900.43560031844,9965.61206663094,9890.102033347448,9908.407889295444,10072.450402258295,9955.610978426725,9898.925272884968,10097.020325533938,9979.839732140405
19,9997.12231844373,10069.876437021867,9901.200006847399,9973.035322442813,9890.404426765721,9902.46401116304,10066.681030781156,9969.954545262955,9920.754100425394,10064.380293830785,9975.587249298487
20,9731.860628561937,9939.175126653576,9765.412583794667,9834.80561816174,9708.96950857075,9740.569452797732,9944.844007428734,9833.011291455434,9771.355995704978,9894.50263200858,9816.450684513811
21,9843.920624589586,10014.149872785101,9840.015520805156,9923.706758447299,9792.535170875564,9820.361990931518,10021.456133603675,9881.294801273418,9864.379232720772,9994.529091308146,9899.634919734022
22,9909.067736813593,10081.861942047703,9890.41959074689,9957.416569584268,9850.766813269183,9893.76211660281,10029.641610692215,9895.443408199972,9905.047945081003,10082.234502383715,9949.566223542135
23,9784.63347654827,9988.907278015726,9813.620237531344,9855.431517876028,9743.278877869416,9822.926262921954,9929.81037807267,9779.138905335734,9789.119724679003,9982.554949070385,9848.942160792056
24,9692.161896977108,9890.968541962615,9725.512073469383,9724.862611043596,9578.665416963471,9683.20573690109,9842.595983617937,9660.079356573724,9682.100607471159,9894.788931107354,9737.494115608744
25,9620.771384600708,9884.145698505192,9707.656779522917,9719.318803509615,9574.119810372984,9668.211360179483,9842.440364643819,9677.953080570138,9675.64634098758,9900.139793593979,9727.04034164864
26,9575.546891925447,9821.772693249246,9661.879635174388,9684.695006731554,9534.268487953936,9591.20607915081,9793.637004665003,9660.541186584696,9630.359826516378,9838.036670782178,9679.194348273364
27,9404.309090515932,9703.193317408115,9542.866446161252,9532.289029393023,9333.72190719014,9446.385092447921,9670.994898188206,9484.510805456674,9475.018698717178,9727.571033326782,9532.086031880523
28,9628.86858889793,9864.03507631909,9665.929245089716,9699.380498114297,9528.847980606259,9635.755771092101,9777.583914202729,9630.802584818857,9609.504353606066,9942.519805086466,9698.322781783352
29,9737.119921086058,10020.718703610506,9778.162348232872,9806.957768860619,9725.941705941166,9777.545006520226,9906.043848947374,9787.154636790397,9742.185934806763,10068.208405472435,9835.003828026842
30,9905.72922649339,10190.949613552337,9897.147208577222,9907.033724612398,9915.236214070599,9925.865824502407,10047.424196502714,9944.202689789248,9911.09165024678,10236.111100391245,9988.079144873835
31,9843.764344875757,10195.721914172547,9856.690306952605,9821.203802957063,9916.643533213997,9953.686123574224,10056.515478241197,9876.260407258753,9901.180662106832,10147.573323185168,9956.923989653813
32,9817.262713041902,10199.438188366668,9833.446614545644,9807.829510865446,9913.561069592666,9965.309530510453,10033.998392430933,9861.22350233724,9898.861808393354,10138.814975866364,9946.974630595065
33,9965.636452612653,10317.978840672225,9957.521598652982,9949.76181068211,10061.625127148181,10081.663011614122,10153.570747583788,9998.869601997452,10033.530907284729,10275.651564956514,10079.580966320475
34,9752.339313209113,10244.2474697572,9883.939350921992,9843.64119014376,9960.529712664838,10006.2779028064,10059.273468826148,9906.996250354585,9962.440464468364,10125.042688487341,9974.472781163973
35,9796.805382841381,10268.874651790316,9905.054014419671,9889.256895789793,9967.036657781042,10050.875299291425,10105.099460719726,9940.09607477605,9983.714649768628,10173.528801183162,10008.03418883612
36,9897.79323113653,10395.393809937685,9980.716607871955,10054.751998709824,10080.707576163095,10168.705393618793,10240.584587869136,10054.231417963427,10098.262814842712,10281.610000699708,10125.275743881288
37,9850.723255677847,10360.928211732991,9965.96980477463,10030.928690121296,10059.604312746469,10113.14459183067,10206.736634805966,10035.427798293304,10042.025546666866,10272.545665854463,10093.80345125045
38,9783.788019090658,10270.617201585323,9918.405159763337,9973.825391307893,9969.130728982223,10048.387799980006,10129.84416561322,9967.243356950223,9970.48598762486,10182.774627874609,10021.450243877236
39,10048.224888999137,10497.827461271903,10091.329393843542,10153.067271743426,10186.855402633606,10259.022406863756,10352.854682860763,10187.655336000786,10173.133786893617,10433.935716000295,10238.390634711084
40,10101.460633102935,10509.252564126442,10097.391528060374,10165.162853452628,10196.333939817105,10293.4913661398,10369.283087788164,10204.118756973498,10199.242092865314,10447.479486367685,10258.321630869394
