,sac_0,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9,sac_10
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,9996.347707772258,10000.640791124775,9999.151208906584,9993.626355522536,10000.052292639613,9996.859379847088,10001.213871531041,9998.697769267035,9997.971165559104,9996.502826891243,9998.106336906128
2,9971.183406968044,9987.349667711404,9984.731208626816,9972.107208366357,9956.948946934042,9978.078841525508,9980.358496181147,9968.557621979413,9984.60297647677,9974.129075301087,9975.804745007059
3,9929.995193791541,9939.790004733797,9932.901708254893,9930.170908741022,9875.920084246729,9930.015131399563,9927.059588902412,9923.272558521106,9943.669016978738,9932.265198926987,9926.505939449678
4,9909.318670547162,9910.473523074386,9911.851827140248,9898.806942742583,9827.473297850374,9902.553654976939,9894.299989291208,9902.50926854297,9921.515783807781,9904.428223176717,9898.323118115037
5,9909.04466598556,9926.418648980853,9923.917248343381,9909.132100311634,9823.733850824414,9909.655154855329,9905.975172041619,9914.371884113545,9928.177576222268,9913.133024675255,9906.355932635386
6,9932.175559959382,9948.51991984881,9947.084658228647,9944.440951939565,9867.524933973804,9933.456849609915,9931.819436226004,9932.03547824673,9957.502817116598,9932.544443415372,9932.710504856483
7,9867.226687156324,9878.601583663221,9878.837086029649,9864.26210425612,9779.953234664103,9865.563149780855,9843.955853496715,9873.115650583948,9882.734939596874,9859.40851332736,9859.365880255518
8,9945.267736636706,9916.81879074007,9931.876178883931,9913.262482103073,9864.507352583943,9910.365767862986,9903.078964995551,9927.41414524957,9948.808098248766,9920.19563091193,9918.159514821651
9,9860.302631846505,9850.31482957728,9849.869055294772,9825.9756070685,9731.752605215624,9829.268093935032,9800.307806816916,9852.98097646124,9851.245289348104,9834.95501356107,9828.697190912504
10,9851.91285737899,9877.352976244276,9886.83742363174,9821.553118044772,9744.043446044992,9832.889275618089,9803.00346470028,9841.356468605616,9845.218492562362,9841.890082693668,9834.605760552478
11,9783.880194017225,9820.016960367262,9826.476977179836,9785.521589694396,9651.5923293896,9757.265835464419,9704.045145370012,9787.331027451375,9752.279972293267,9780.491544282631,9764.890157551003
12,9807.25433976316,9854.948115483148,9861.697373250132,9796.519347124655,9707.110968362573,9792.520414906114,9769.273270108999,9815.89196352332,9808.768007665964,9810.548089683249,9802.45318898713
